"H1N1","temp","prec","humi","popd","gdpd","rdds","sensepop","urbanpop","medicost","Georegion"
2.02,22.257,2169.194,28.0085,171.24,0.4074,23.33,26.8913,52.74,94.1805,"S"
2.02,22.73,2131.414,44.7943,213.1,0.7876,26.55,26.8913,52.74,94.1805,"S"
2.02,23.288,2438.123,45.8407,288.81,1.5207,38.17,26.8913,52.74,94.1805,"S"
1.45,22.914,2251.993,24.3231,719.93,1.971,53.61,23.9246,67.76,64.8081,"S"
1.45,22.566,2355.137,33.637,791.68,3.4102,57.4,23.9246,67.76,64.8081,"S"
1.09,21.169,1658.817,34.915,90.36,0.2519,17.24,28.0352,40.48,77.7068,"W"
2.04,21.252,1826.254,13.4587,98.22,0.3974,19.41,30.7623,44.81,73.333,"W"
2.04,21.749,2247.603,38.3487,198.26,0.7251,22.64,30.7623,44.81,73.333,"W"
2.04,21.784,2324.424,39.4525,283.46,1.145,19.19,30.7623,44.81,73.333,"W"
2.04,21.599,2299.249,48.8668,467.74,1.9763,27.94,30.7623,44.81,73.333,"W"
1.45,20.915,2378.544,56.3946,305.92,1.2172,33.72,23.9246,67.76,64.8081,"S"
1.45,21.905,2431.621,81.404,346.77,1.5414,50.39,23.9246,67.76,64.8081,"S"
1.45,22.363,2362.228,57.3503,1328.28,8.4831,174.15,23.9246,67.76,64.8081,"S"
1.09,19.405,1608.384,60.5367,71.95,0.2043,17.8,28.0352,40.48,77.7068,"W"
1.09,20.614,1521.527,59.4881,56.1,0.1809,13.76,28.0352,40.48,77.7068,"W"
1.09,20.427,1743.651,92.1541,43.37,0.1374,15.41,28.0352,40.48,77.7068,"W"
1.09,19.79,1672.288,110.6732,110.92,0.3659,22.65,28.0352,40.48,77.7068,"W"
1.09,19.295,1492.483,94.5542,142.17,0.4251,31.46,28.0352,40.48,77.7068,"W"
1.09,18.002,1294.389,44.0112,156.23,0.4825,30.76,28.0352,40.48,77.7068,"W"
2.04,19.466,1290.862,49.1585,129.46,0.5172,18.97,30.7623,44.81,73.333,"W"
2.04,21.006,1393.758,16.6325,135.8,0.5383,18.69,30.7623,44.81,73.333,"W"
2.04,21.427,1658.99,19.5077,450.28,1.837,44.5,30.7623,44.81,73.333,"W"
2.04,21.485,1909.821,22.3755,321.91,1.2265,27.39,30.7623,44.81,73.333,"W"
2.04,21.19,2095.11,36.477,399.46,1.4601,24.37,30.7623,44.81,73.333,"W"
2.04,21.06,2072.296,32.9084,307.27,1.1923,33.28,30.7623,44.81,73.333,"W"
1.45,21.206,2007.161,44.1092,346.09,1.3922,47.83,23.9246,67.76,64.8081,"S"
1.45,22.098,2088.561,47.3931,2786.56,10.81,316.5,23.9246,67.76,64.8081,"S"
1.45,22.286,2365.071,58.9124,1698.84,5.4729,193.45,23.9246,67.76,64.8081,"S"
1.45,22.27,2569.669,66.9162,390.72,1.1989,34.36,23.9246,67.76,64.8081,"S"
1.45,23.37,2417.355,67.1715,1428.31,6.287,76.45,23.9246,67.76,64.8081,"S"
1.09,18.596,1453.369,32.6842,87.5,0.2865,17.5,28.0352,40.48,77.7068,"W"
