"H1N1",temp,prec,humi,popd,gdpd,rdds,sensepop,urbanpop,medicost,Georegion
2.02,22.52,1995.96,20.203,190.41,0.5167,23.62,26.89,52.74,94.1805,"S"
2.02,22.96,2559.29,55.063,208.27,0.8129,27.25,26.89,52.74,94.1805,"S"
1.09,21.99,1894.74,43.841,52.43,0.1516,15.77,28.04,40.48,77.7068,"W"
1.45,22.3,2354.7,39.271,622.27,2.6417,45.13,23.92,67.76,64.8081,"S"
1.09,20.21,1565.64,54.143,62.77,0.187,14.08,28.04,40.48,77.7068,"W"
1.09,20.5,1749.45,84.92,54.36,0.1709,17.16,28.04,40.48,77.7068,"W"
1.09,19.5,1575.21,103.56,149.24,0.4754,30.17,28.04,40.48,77.7068,"W"
1.09,18.37,1312.54,54.031,137.64,0.3934,28.16,28.04,40.48,77.7068,"W"
2.04,21.18,1480.31,16.12,130.51,0.5142,20.08,30.76,44.81,73.333,"W"
2.04,21.51,1907.77,24.132,364.46,1.4752,33.37,30.76,44.81,73.333,"W"
2.04,21.17,2142.87,38.222,419.88,1.6005,27.35,30.76,44.81,73.333,"W"
1.45,20.96,2128.7,46.149,293.43,1.1506,34.86,23.92,67.76,64.8081,"S"
1.45,22.13,2160.88,50.831,2200.56,8.7837,251.12,23.92,67.76,64.8081,"S"
1.45,22.26,2490.03,62.564,1473.56,8.1525,96.92,23.92,67.76,64.8081,"S"
1.09,18.71,1252.87,34.766,87.98,0.2549,16.49,28.04,40.48,77.7068,"W"
1.09,18.91,1045.31,23.157,64.7,0.1922,18.49,28.04,40.48,77.7068,"W"
1.09,17.51,937.58,15.077,193.02,0.546,33.21,28.04,40.48,77.7068,"W"
1.09,17.87,1060.46,34.967,115.09,0.3226,17.6,28.04,40.48,77.7068,"W"
2.04,19.75,1136.46,24.096,72.99,0.2582,15.49,30.76,44.81,73.333,"W"
2.04,20.26,1328.03,32.22,112.88,0.4246,18.03,30.76,44.81,73.333,"W"
2.04,20.54,1530.51,29.178,228.26,0.8343,24.25,30.76,44.81,73.333,"W"
2.04,20,1880.59,50.847,147.17,0.5167,15.77,30.76,44.81,73.333,"W"
2.04,19.58,2014.81,52.926,173.15,0.6854,20.91,30.76,44.81,73.333,"W"
1.45,20.06,2047.24,69.238,220.4,0.8292,37.48,23.92,67.76,64.8081,"S"
1.45,20.68,2080.38,72.589,198.59,0.8206,29.77,23.92,67.76,64.8081,"S"
1.45,21.84,2094.85,52.193,431.07,1.624,48.9,23.92,67.76,64.8081,"S"
1.84,22.44,1901.39,46.572,602.46,4.3331,70.99,25.02,60.77,71.9886,"S"
1.09,16.61,1386.46,71.295,127.88,0.3903,25.36,28.04,40.48,77.7068,"W"
1.09,16.09,928.62,32.4,144.97,0.3911,26.57,28.04,40.48,77.7068,"W"
1.09,16.81,763.53,10.283,118.26,0.3472,22.69,28.04,40.48,77.7068,"W"
1.09,15.76,834.77,26.526,312.85,0.9005,42.52,28.04,40.48,77.7068,"W"
1.09,15.46,1041.06,70.683,247.69,0.6826,31.79,28.04,40.48,77.7068,"W"
1.16,17.92,957.48,53.659,143.22,0.3477,23.64,31.37,37.83,79.1247,"W"
1.16,17.88,1180.27,39.332,88.47,0.2474,15.31,31.37,37.83,79.1247,"W"
1.16,18.16,1465.83,42.609,84.23,0.2753,11.81,31.37,37.83,79.1247,"W"
2.04,17.96,1747.98,71.348,154.93,0.6027,19.23,30.76,44.81,73.333,"W"
1.25,18.54,1687.35,53.77,200.56,0.9035,20.35,28.84,47.96,62.0203,"S"
1.25,18.5,1558.39,59.296,200.52,0.8448,28.24,28.84,47.96,62.0203,"S"
0.77,19.84,1458.45,58.736,243.32,0.9371,27.96,28.71,48.87,70.2393,"S"
1.84,19.7,1622.1,70.997,148.81,0.9299,31.6,25.02,60.77,71.9886,"S"
1.84,19.45,1663.12,70.324,206.35,1.4616,43.54,25.02,60.77,71.9886,"S"
1.09,12.31,940.05,31.988,75.03,0.2108,16.18,28.04,40.48,77.7068,"W"
1.09,15.87,911.91,26.257,92.95,0.5662,18.76,28.04,40.48,77.7068,"W"
0.31,15.31,957.04,24.808,131.91,0.7038,21.91,29.31,44.9,72.8208,"W"
1.16,14.13,919.5,36.531,266.49,0.6794,22.41,31.37,37.83,79.1247,"W"
1.16,15.23,901.57,53.054,298.83,0.7176,28.85,31.37,37.83,79.1247,"W"
1.16,16.28,1077.18,38.317,305.52,0.7148,38.63,31.37,37.83,79.1247,"W"
1.16,16.59,1275.12,35.104,109.64,0.3004,20.95,31.37,37.83,79.1247,"W"
1.25,17.14,1308.48,63.692,238.83,1.1099,25.41,28.84,47.96,62.0203,"S"
1.25,18.82,1172.29,49.732,458.06,2.1241,38.68,28.84,47.96,62.0203,"S"
1.25,19.15,1294.21,66.029,339.68,1.3661,37.79,28.84,47.96,62.0203,"S"
0.77,19.22,1389.81,63.843,214.64,0.802,30.58,28.71,48.87,70.2393,"S"
0.77,18.78,1398.94,84.776,142.69,0.5934,26.8,28.71,48.87,70.2393,"S"
1.84,18.92,1506.41,78.41,122.32,0.8495,35.22,25.02,60.77,71.9886,"S"
1.84,18.05,1586.4,87.743,311.5,1.5399,38.21,25.02,60.77,71.9886,"S"
0.03,14.14,514.93,1.264,35.19,0.0427,0,28.43,23.71,156.466,"W"
0.03,17.74,597.38,2.39,43.03,0.097,0,28.43,23.71,156.466,"W"
1.09,8.1,898.03,40.393,18.72,0.0595,9.05,28.04,40.48,77.7068,"W"
0.31,10.35,936.3,42.755,27.4,0.1917,5.83,29.31,44.9,72.8208,"W"
0.31,11.92,1155.24,40.107,123.76,0.9267,17.55,29.31,44.9,72.8208,"W"
1.09,16.15,1185.53,23.159,232.46,1.4023,25.67,28.04,40.48,77.7068,"W"
0.31,17.19,1085.17,31.215,263.38,1.5746,24.41,29.31,44.9,72.8208,"W"
1.16,16.47,971.57,36.112,206.12,0.6039,23.7,31.37,37.83,79.1247,"W"
1.24,16.79,1151.6,38.114,171.2,0.6858,21.51,28.85,58.34,80.7972,"W"
1.25,17.56,1343.28,54.721,157.57,0.6672,22.01,28.84,47.96,62.0203,"S"
1.25,18.29,1293.4,61.071,397.72,1.7527,40.36,28.84,47.96,62.0203,"S"
1.25,18.87,1307.19,59.169,635.7,2.4809,71.33,28.84,47.96,62.0203,"S"
0.77,18.72,1437.49,78.9,276.22,1.0503,44.26,28.71,48.87,70.2393,"S"
0.77,19.33,1568.72,78.682,542.15,1.84,56.38,28.71,48.87,70.2393,"S"
0.77,18.29,1694.42,102.92,227.31,1.0253,35.17,28.71,48.87,70.2393,"S"
0.93,16.99,1664.47,89.932,108.83,1.0021,38.16,21.14,64,77.2942,"S"
0.03,0.25,537.99,12.954,3.62,0.0109,4.28,28.43,23.71,156.466,"W"
0.03,-0.32,575.85,-10.701,3.4,0.0094,3.61,28.43,23.71,156.466,"W"
0.03,0.67,639.05,-6.717,4.6,0.0133,2.16,28.43,23.71,156.466,"W"
0.03,9.04,640.75,4.588,8.47,0.0221,1.06,28.43,23.71,156.466,"W"
0.03,13.87,752.77,25.253,8.23,0.0183,0.13,28.43,23.71,156.466,"W"
0.03,6.73,942.25,32.011,1.93,0.0067,1.01,28.43,23.71,156.466,"W"
0.03,4.63,784.94,21.211,3.56,0.0122,2.34,28.43,23.71,156.466,"W"
0.31,5.48,694.12,12.674,6.44,0.0421,4.74,29.31,44.9,72.8208,"W"
0.31,4.28,980.3,52.329,5.74,0.0391,1.43,29.31,44.9,72.8208,"W"
0.31,10.54,1229.66,53.633,85.18,0.694,14.16,29.31,44.9,72.8208,"W"
0.31,18.17,1171.49,42.804,421.93,3.4376,38.22,29.31,44.9,72.8208,"W"
1.24,19.21,1103.28,20.134,566.5,4.6836,49,28.85,58.34,80.7972,"W"
1.24,18.14,1115.49,29.228,528.03,3.4221,58.76,28.85,58.34,80.7972,"W"
1.24,16.11,1215.25,59.097,152.91,0.9749,26.58,28.85,58.34,80.7972,"W"
1.25,15.51,1456.67,73.415,107.89,0.4783,21.77,28.84,47.96,62.0203,"S"
1.25,18.49,1319.22,44.331,417.08,1.7892,38.96,28.84,47.96,62.0203,"S"
1.25,18.63,1239.43,55.56,375.41,1.5243,41.84,28.84,47.96,62.0203,"S"
0.38,18.07,1260.85,66.215,297.29,1.3681,36.8,24.85,54.51,67.2963,"S"
0.77,18.57,1446.64,73.8,370.68,1.2678,40.73,28.71,48.87,70.2393,"S"
0.77,17.62,1536.11,103.282,146.09,0.69,36.31,28.71,48.87,70.2393,"S"
0.93,17.87,1442.98,69.589,434.22,4.018,97.95,21.14,64,77.2942,"S"
0.93,17.47,1563.96,82.548,527.87,4.7737,104.64,21.14,64,77.2942,"S"
0.03,-0.54,754.39,29.833,2.57,0.007,2.9,28.43,23.71,156.466,"W"
0.03,2.34,484.07,-17.239,7.05,0.0231,4.92,28.43,23.71,156.466,"W"
0.03,3.01,516.65,-8.207,16.96,0.0509,4.47,28.43,23.71,156.466,"W"
0.03,2.73,582.37,-16.496,16.48,0.0703,7.79,28.43,23.71,156.466,"W"
0.03,3.81,669.93,-5.469,23.54,0.0479,6.11,28.43,23.71,156.466,"W"
0.03,2.02,798.73,34.669,2.63,0.0079,1.29,28.43,23.71,156.466,"W"
0.03,4.21,861.51,29.862,4.01,0.0149,2.82,28.43,23.71,156.466,"W"
0.03,2.96,792.49,22.594,3.74,0.0114,2.07,28.43,23.71,156.466,"W"
0.03,4.91,638.77,2.294,6.34,0.0207,3.91,28.43,23.71,156.466,"W"
0.31,4.57,764.33,14.942,4.78,0.0347,4,29.31,44.9,72.8208,"W"
0.31,4.59,877.2,28.457,9.06,0.0659,5.01,29.31,44.9,72.8208,"W"
0.31,6.17,1280.25,27.022,27.51,0.2211,7.32,29.31,44.9,72.8208,"W"
0.31,16.28,1258.71,24.725,926.06,7.3858,96.99,29.31,44.9,72.8208,"W"
0.31,18.51,1155.14,16.841,486.89,3.6125,42.94,29.31,44.9,72.8208,"W"
0.31,18.47,1216.06,37.038,441.39,3.3136,32.06,29.31,44.9,72.8208,"W"
1.24,16.44,1175.28,39.676,228.24,1.6657,27.64,28.85,58.34,80.7972,"W"
0.38,14.49,1177.01,60.411,121.22,0.6223,22.37,24.85,54.51,67.2963,"S"
0.38,17.18,1100.09,21.21,263.94,1.1629,37.69,24.85,54.51,67.2963,"S"
0.38,17.81,1063.44,28.624,454.33,2.3925,51.18,24.85,54.51,67.2963,"S"
0.38,17.37,1130.36,52.164,689.85,2.5599,54.62,24.85,54.51,67.2963,"S"
0.26,16.88,1269.68,66.612,315.39,1.0766,40.48,28.99,47.86,72.7017,"S"
