H1N1,temp,prec,humi,popd,gdpd,rdds,sensepop,urbanpop,medicost,Georegion
2.02,23.322,1980.146,11.9797,209.8,0.3844,27.1,26.8913,52.74,94.1805,"S"
2.02,23.291,2208.808,12.6892,387.47,0.6678,47.88,26.8913,52.74,94.1805,"S"
2.02,22.899,1740.595,0.3617,137.7,0.1843,17.26,26.8913,52.74,94.1805,"S"
2.02,21.873,1996.958,17.7836,77.31,0.2886,8.61,26.8913,52.74,94.1805,"S"
2.02,21.297,2422.414,59.1199,85.11,0.3519,18.1,26.8913,52.74,94.1805,"S"
2.02,22.793,2677.797,56.9611,111.51,0.6999,18.46,26.8913,52.74,94.1805,"S"
2.02,23.585,1684.8,-7.1947,299.05,0.554,30.55,26.8913,52.74,94.1805,"S"
2.02,22.529,1930.951,27.5546,140.77,0.7506,26.63,26.8913,52.74,94.1805,"S"
2.02,22.27,2361.99,64.0297,166.93,0.7637,15.48,26.8913,52.74,94.1805,"S"
2.02,23.026,2596.485,64.2083,188.75,0.8183,19.46,26.8913,52.74,94.1805,"S"
2.02,23.604,2562.575,44.917,341.63,1.3236,46.05,26.8913,52.74,94.1805,"S"
2.02,23.146,2171.817,45.4826,274.66,0.8096,34.84,26.8913,52.74,94.1805,"S"
2.02,23.238,2316.949,39.2115,347.45,2.6637,38.68,26.8913,52.74,94.1805,"S"
2.02,23.395,2316.598,34.558,294.49,1.2025,51.09,26.8913,52.74,94.1805,"S"
1.45,22.731,2268.865,26.1534,301.65,1.2598,39.67,23.9246,67.76,64.8081,"S"
1.45,22.684,2347.251,32.1009,534.18,3.1786,58.91,23.9246,67.76,64.8081,"S"
1.09,22.07,1887.289,43.5055,67.49,0.3352,18.55,28.0352,40.48,77.7068,"W"
2.04,22.232,2712.144,84.8573,297.29,0.8657,42.3,30.7623,44.81,73.333,"W"
2.04,22.493,2548.908,41.2162,603.99,1.8201,61.95,30.7623,44.81,73.333,"W"
2.04,22.459,2453.069,37.5415,308.57,1.4737,32.74,30.7623,44.81,73.333,"W"
1.45,22.468,2372.52,35.3037,617.84,2.7976,45.85,23.9246,67.76,64.8081,"S"
1.45,22.504,2351.255,35.1614,858.01,3.6692,58.07,23.9246,67.76,64.8081,"S"
1.45,22.46,2403.33,28.5272,1142.8,4.5151,83.88,23.9246,67.76,64.8081,"S"
