"NDVIchange","Climatezone","Mining","Tempchange","Precipitation","GDP","Popdensity"
0.12623,"Bwk","low",0.24078,243.02,12.55,1.73066
0.03241,"Bwk","low",0.24666,224.22,0,0.01325
0.13634,"Bsk","low",0.26653,444.57,0,9.54972
0.13317,"Bwk","low",0.31576,230.32,0,1.5486
0.12367,"Bwk","low",0.27443,236.69,0,1.48215
0.08438,"Bwk","low",0.26662,229.74,0,1.07266
0.00933,"Bwk","low",0.28601,213.42,0.24,0.78449
0.02091,"Bwk","low",0.27746,209.52,0,1.26843
0.02223,"Bwk","low",0.26507,208.93,0,5.28464
0.04735,"Bwk","low",0.21299,228.24,0,2.94105
0.05727,"Bsk","low",0.15484,251.44,0,2.66567
0.11169,"Bsk","low",0.27329,418.93,46.3,8.49747
0.11877,"Bsk","low",0.29504,434.84,0,7.94751
0.14221,"Bsk","very low",0.3267,447.71,0,9.98478
0.23499,"Bsk","very low",0.36015,458.6,16.47,14.50822
0.00464,"Bwk","low",0.36325,226.07,0,0.04045
0.01694,"Bwk","low",0.35881,217.1,0,0.06673
0.01041,"Bwk","low",0.34044,214.21,0,0.14499
-0.00029,"Bwk","low",0.32803,210.56,0,0.03093
0.02785,"Bwk","low",0.3206,206.01,0,0.54048
0.0094,"Bwk","low",0.29146,212.21,0,0.58748
0.0117,"Bwk","low",0.2741,215.01,0,0.78879
0.07909,"Bwk","low",0.25453,219.4,11.89,1.96823
0.09848,"Bwk","low",0.20499,239.75,24.69,1.96987
0.02264,"Bwk","low",0.20715,236.67,5.45,9.60529
0.08698,"Bsk","low",0.23646,355.69,0,19.8115
0.07183,"Bsk","low",0.24529,378.99,10.94,14.91162
0.07144,"Bsk","low",0.26567,397.71,0,6.53466
0.07859,"Bsk","low",0.2971,414.09,0,5.41115
0.09512,"Bsk","very low",0.34331,426.99,0,4.92318
0.11356,"Bsk","very low",0.40879,434.12,2.83,9.34572
0.1383,"Bsk","very low",0.48255,441.78,13.58,14.66413
-0.00807,"Bwk","low",0.40497,218.65,0,0.01637
0.00132,"Bwk","low",0.40747,207.49,0,0.06959
-0.00528,"Bwk","low",0.39763,201.71,0,0.00731
-0.00096,"Bwk","low",0.3835,198.83,0,0.0024
