NDVIchange,Climatezone,Mining,Tempchange,Precipitation,GDP,Popdensity
0.08678,"Bwk","low",0.2409,240.81,0,1.77582
0.15233,"Bwk","low",0.21342,250.12,12.55,2.28656
0.06444,"Bwk","low",0.27134,233.78,0,2.60727
0.07837,"Bwk","low",0.23942,242.77,0,1.48338
0.1076,"Bwk","low",0.2074,252.27,0,1.48338
0.09556,"Bwk","low",0.2121,250.54,0,1.48338
0.10928,"Bwk","low",0.21197,247.6,0,1.66959
0.16294,"Bwk","low",0.20501,248.93,0,2.23038
0.08231,"Bsk","low",0.26432,455.58,0,11.11419
0.10493,"Bsk","low",0.26685,458.01,0,10.56518
0.10172,"Bsk","low",0.2709,471.25,0,50.43774
0.18151,"Bwk","low",0.28715,231.79,0,1.48338
0.10589,"Bwk","low",0.27403,233.59,0,1.48338
0.11631,"Bwk","low",0.25065,241.02,0,1.48338
0.12384,"Bwk","low",0.21982,250.43,0,1.48338
0.14839,"Bwk","low",0.21039,252,0,1.48338
0.15887,"Bwk","low",0.21253,247.75,0,1.48338
0.17033,"Bwk","low",0.22454,240.72,0,1.56796
0.12049,"Bwk","low",0.23962,232.77,0,1.82985
0.09536,"Bwk","low",0.24147,231,0,1.2192
0.08608,"Bwk","low",0.24693,226.63,0,0
0.0456,"Bwk","low",0.2481,224.07,0,0
0.01411,"Bwk","low",0.23001,229.17,0,0
0.01448,"Bwk","low",0.22967,226.83,0,0
0.0017,"Bwk","low",0.23378,223.58,0,0
-0.0084,"Bwk","low",0.249,214.42,0,0
0.11681,"Bsk","low",0.25996,447.97,0,8.33007
0.16619,"Bsk","low",0.26643,450.09,0,8.33007
0.12157,"Bsk","low",0.27499,451.73,3.17,8.33007
0.10389,"Bsk","low",0.28101,454.99,12.5,8.5961
0.14568,"Bsk","low",0.28218,459.5,0,8.46442
0.13639,"Bsk","low",0.27983,465.67,0,10.26943
0.17304,"Bsk","low",0.27893,471,4.39,12.4834
0.19571,"Bsk","low",0.28224,474.34,0,26.1507
0.14556,"Bsk","low",0.29164,476.17,0,28.10583
0.11851,"Bsk","very low",0.29098,480.8,0,27.20887
0.07805,"Bsk","very low",0.29209,485.62,0,14.46071
0.12712,"Bsk","very low",0.29703,488.58,102.89,48.04034
0.24988,"Bsk","very low",0.30457,493.07,2.25,49.83039
0.38939,"Bwk","low",0.29403,234.12,0,1.48338
0.12355,"Bwk","low",0.29072,232.64,0,1.48338
0.14047,"Bwk","low",0.28281,232.95,0,1.48338
0.1392,"Bwk","low",0.26475,236.83,0,1.48338
0.17501,"Bwk","low",0.23878,244.06,0,1.48338
0.21943,"Bwk","low",0.23787,242.44,0,1.48338
0.19073,"Bwk","low",0.24337,236.87,0,1.48338
0.18101,"Bwk","low",0.24945,231.9,0,1.48338
0.16413,"Bwk","low",0.2538,228.12,0,1.48338
0.07152,"Bwk","low",0.25524,226.01,0,1.19385
0.07316,"Bwk","low",0.26094,221.46,0,0.03653
0.01764,"Bwk","low",0.2618,219.23,0,0
0.00851,"Bwk","low",0.24766,222.18,0,0
0.00051,"Bwk","low",0.24814,219.72,0,0.02793
-0.00468,"Bwk","low",0.26149,213.97,0,0.43109
0.00887,"Bwk","low",0.26983,208.27,0,0.8492
0.0166,"Bwk","low",0.28231,202.43,0,1.17958
0.06845,"Bwk","low",0.28863,198.78,0.26,1.26843
0.04089,"Bwk","low",0.27857,200.85,0,1.25951
-0.00833,"Bwk","low",0.2659,205.31,0,1.58661
0.17173,"Bsk","low",0.27196,436.13,0,8.33007
0.16248,"Bsk","low",0.2743,441.28,0,8.33007
0.17329,"Bsk","low",0.28448,441.99,0,8.33007
0.10647,"Bsk","low",0.29004,445.14,0,8.33007
0.16341,"Bsk","low",0.29059,450.75,0,8.33007
0.20339,"Bsk","low",0.29344,455.2,0,8.33007
0.16715,"Bsk","low",0.29444,460.9,0,8.33007
0.16948,"Bsk","low",0.29667,465.15,0,8.33007
0.238,"Bsk","low",0.30664,466.84,0,12.16941
0.16119,"Bsk","very low",0.31196,470.53,0,14.46071
0.21321,"Bsk","very low",0.31288,475.63,0,14.46071
0.25231,"Bsk","very low",0.31709,479.1,0.15,14.46071
0.29612,"Bsk","very low",0.31834,485.8,3.93,14.46071
0.2451,"Bwk","low",0.30053,236.3,0,1.48338
0.09287,"Bwk","low",0.30088,232.77,0,1.48338
0.12343,"Bwk","low",0.29505,232.46,0,1.48338
0.14623,"Bwk","low",0.28227,234.66,0,1.48338
0.19656,"Bwk","low",0.27107,236.56,0,1.48338
0.19563,"Bwk","low",0.2547,240.63,0,1.48338
0.20312,"Bwk","low",0.24594,241.12,0,1.48338
0.18973,"Bwk","low",0.24597,238.44,0,1.48338
0.16417,"Bwk","low",0.25095,233.96,0,1.48338
0.14029,"Bwk","low",0.26044,227.75,0,1.48338
0.06704,"Bwk","low",0.25949,226.78,0,1.2966
0.04916,"Bwk","low",0.26799,221.17,0,0.299
0.00224,"Bwk","low",0.27214,217.35,0,0
-0.00916,"Bwk","low",0.26739,217.34,0,0.26882
-0.00016,"Bwk","low",0.27218,212.92,0,0.98385
0.01873,"Bwk","low",0.27918,208.72,0,1.26843
0.0416,"Bwk","low",0.2837,204.49,0,1.26843
0.01868,"Bwk","low",0.28483,203.4,0,1.26843
0.02809,"Bwk","low",0.29392,197.89,0,1.26843
0.02853,"Bwk","low",0.28348,200.27,0,1.26843
-0.01068,"Bwk","low",0.26659,205.51,0,1.26843
0.14838,"Bwk","low",0.26223,205.77,0,24.87247
0.04713,"Bwk","low",0.2478,211.63,0,63.40672
0.12432,"Bsk","low",0.26898,426.36,7.88,10.6388
0.12141,"Bsk","low",0.27955,428.34,0,8.33007
0.13997,"Bsk","low",0.27985,434.02,0,8.33007
0.14815,"Bsk","low",0.28594,437.01,0,8.33007
0.12793,"Bsk","low",0.28958,441.28,0,8.33007
0.112,"Bsk","low",0.29398,446,0,8.33007
0.13845,"Bsk","low",0.29711,450.22,0,8.33007
0.16503,"Bsk","low",0.30212,454.66,0,8.33007
0.13587,"Bsk","very low",0.30678,457.83,0,8.97447
0.10693,"Bsk","very low",0.31391,460.81,0,12.84626
0.22343,"Bsk","very low",0.32446,462.04,0,14.46071
0.25968,"Bsk","very low",0.33095,466.02,0,14.46071
0.20579,"Bsk","very low",0.33576,469.79,0,14.46071
0.22289,"Bsk","very low",0.3379,476.23,2.71,14.46071
0.12077,"Bwk","low",0.31028,235.86,0,2.06398
0.14901,"Bwk","low",0.3159,231.13,0,1.48338
0.04707,"Bwk","low",0.31093,229.88,0,1.48338
0.09395,"Bwk","low",0.30214,230.89,0,1.48338
0.11636,"Bwk","low",0.2755,238.94,0,1.48338
0.11643,"Bwk","low",0.2522,246.78,0,1.48338
0.1404,"Bwk","low",0.24032,249.33,0,1.48338
0.13188,"Bwk","low",0.24413,244.34,0,1.48338
0.1196,"Bwk","low",0.24757,240.54,0,1.48338
0.12536,"Bwk","low",0.25123,235.4,0,1.48338
0.08348,"Bwk","low",0.25962,229.97,0,1.4624
0.07756,"Bwk","low",0.24478,233.89,0,0.89652
0.04548,"Bwk","low",0.27516,220.76,0,0.0126
-0.00848,"Bwk","low",0.28047,215.27,0,0.39996
-0.00093,"Bwk","low",0.28432,211.9,0,1.20301
0.02523,"Bwk","low",0.29223,206.79,0,1.26843
0.0214,"Bwk","low",0.28816,206.62,0,1.26843
0.03427,"Bwk","low",0.28072,207.95,0,1.26843
0.02725,"Bwk","low",0.2702,209.78,0,1.26843
0.01467,"Bwk","low",0.27376,206.9,0,1.26843
0.00241,"Bwk","low",0.2861,200.89,0,1.26843
-0.00919,"Bwk","low",0.26979,206.71,0,1.26843
0.057,"Bwk","low",0.26186,207.76,0,1.26843
0.02549,"Bwk","low",0.24819,212.3,0,1.26843
0.01804,"Bwk","low",0.22375,221.52,0,1.57711
0.03112,"Bwk","low",0.21102,226.33,0,4.53334
0.03231,"Bwk","low",0.2011,230.7,0,3.08635
0.05297,"Bwk","low",0.20281,229.62,0,1.96823
0.07331,"Bwk","low",0.17963,237.62,0,1.96823
0.05145,"Bsk","low",0.16422,243.94,0,2.00744
0.06801,"Bsk","low",0.14231,253.11,0,4.76672
0.12287,"Bsk","low",0.27028,414.36,0,9.19807
0.10194,"Bsk","low",0.27123,419.77,6.5,8.33007
0.08039,"Bsk","low",0.27581,424.19,31.92,8.33007
0.104,"Bsk","low",0.27866,428.49,0,8.33007
0.15837,"Bsk","low",0.28574,431.95,0,8.33007
0.11856,"Bsk","low",0.29108,435.41,0,8.33007
0.11439,"Bsk","low",0.2967,439.57,0,8.32904
0.14133,"Bsk","low",0.30178,443.27,0,7.4407
0.13316,"Bsk","very low",0.30987,447.01,0,7.85572
0.15863,"Bsk","very low",0.31769,449.4,0,13.94673
0.18225,"Bsk","very low",0.32581,452.94,0,14.46071
0.1238,"Bsk","very low",0.33616,454.72,0,14.46071
0.26337,"Bsk","very low",0.34518,458.29,0,14.46071
0.27755,"Bsk","very low",0.35285,461.93,0,14.46071
0.31788,"Bsk","very low",0.35784,467.24,3.05,14.46071
0.04667,"Bwk","low",0.31969,237.02,0,1.4792
0.34145,"Bwk","low",0.32176,233.91,0,1.48338
0.18956,"Bwk","low",0.32309,230.11,0,1.48338
0.05711,"Bwk","low",0.32346,227.46,0,1.48338
0.08943,"Bwk","low",0.31064,229.37,0,1.48338
0.09311,"Bwk","low",0.29069,234.48,0,1.48338
0.08412,"Bwk","low",0.27397,239.13,0,1.48338
0.10251,"Bwk","low",0.2724,237.15,0,1.48338
0.09725,"Bwk","low",0.27272,233.95,0,1.48338
0.09279,"Bwk","low",0.27489,231.05,0,1.48338
0.0604,"Bwk","low",0.2723,230,0,1.48338
0.05877,"Bwk","low",0.25817,233.3,0,1.06323
0.05331,"Bwk","low",0.27317,226.13,0,0.04626
-0.00336,"Bwk","low",0.29112,215.39,0,0.19829
-0.00504,"Bwk","low",0.29364,212.38,0,1.23657
0.01384,"Bwk","low",0.29686,209.44,0,1.26843
