normal,t,uniform,gamma
-31.82029783848291,-25.19778506381867,-17.404537491441147,-13.583917598763342
-28.892460231610272,-23.884973691808238,-17.38150228016486,-13.39874006249314
-27.7378264635049,-23.304150938042483,-17.363974116736397,-13.314758479326885
-26.292345019237608,-23.28553923384128,-17.18646734090565,-13.262699295833837
-24.166122246365326,-23.23061229690814,-17.152999257230327,-13.246423789770109
-22.179633689286437,-22.837058694658193,-17.14353906983389,-13.009718164439112
-21.81347036181212,-22.311481613004865,-17.058397774827295,-12.950904099361553
-21.613877796126744,-22.03069820525338,-17.014755453648306,-12.928590871637587
-21.230943885733026,-21.848194702400523,-16.96032122344532,-12.625562147492904
-20.541294617121856,-20.818722645044495,-16.9216509382071,-12.478823625739935
-19.759256766013273,-20.605520368877123,-16.881598684921922,-12.407354523130998
-19.45383318508669,-20.14040140167061,-16.709386717820113,-12.362015665631457
-18.875558875011606,-19.636262605948364,-16.5895916245353,-12.306839553774365
-18.789705455557705,-19.421611462701105,-16.55262678970295,-12.292988470691984
-18.677112542948606,-18.695459631137343,-16.531768916629392,-12.26782135176081
-18.338685339278037,-18.691715419786902,-16.43854871975267,-12.102074935347463
-18.28235277013883,-18.66538533640778,-16.418549777514233,-12.036024125808968
-18.025113893049568,-18.309379239452902,-16.247763912185196,-11.955752183312393
-17.379871168725852,-18.27880378063131,-15.87067007924546,-11.952414978561176
-17.217067663777957,-17.857455055930124,-15.836964541293126,-11.870172116449524
-17.09986659420811,-17.400354960117337,-15.8327021173236,-11.839442013382174
-16.925651981728812,-17.062270913785888,-15.796526125782842,-11.830013521021476
-16.906905496645834,-17.021880049602157,-15.671225743717951,-11.79353545231592
-16.771715375326664,-16.81979197149358,-15.50485573997802,-11.701897411464788
-16.65397235567444,-16.71819873159002,-15.449325912844571,-11.697059605625563
-16.549858215338958,-16.546384245148,-15.40445823777035,-11.632159388205656
-16.53735049330068,-16.319357289818782,-15.358024047314602,-11.546367031156164
-16.307867170701307,-16.30895574544551,-15.349305878442635,-11.529769790034635
-16.304203633196447,-16.02314679642828,-15.281073388325868,-11.528150652303164
-16.022673447217066,-15.834294077215885,-15.05653956698162,-11.522008860422812
-15.857947847625034,-15.550724155657594,-15.048666246298623,-11.490363478794626
-15.786297987629485,-15.539723346570042,-14.97201052935093,-11.323454592527476
-15.635758176967283,-15.502311241371864,-14.956619609208555,-11.302814788275795
-15.539476456235093,-14.705748512673594,-14.948673768297196,-11.229665237616459
-15.43511704771464,-14.455573429368492,-14.71888763779344,-11.185684784920188
-15.407068436642405,-14.43091009408944,-14.598333267403937,-11.16427769035894
-15.09761460722144,-14.365717048997697,-14.368562584185725,-11.105314639458548
-14.779053829924036,-14.194090335410989,-14.21519818039144,-11.072000856887982
-14.50005916674737,-14.166419000155766,-14.114034596546347,-11.052725245856816
-14.450103661466724,-14.049072183092594,-14.025711072186063,-11.007485352422997
-14.175852370519316,-14.002007527292587,-13.983354958492063,-10.999434972917948
-13.985581042392624,-13.792285794836348,-13.815259176507201,-10.944568648393986
-13.86341330218708,-13.77564294970345,-13.79703875474555,-10.912112887902868
-13.858598979356561,-13.578728967878455,-13.696516448975034,-10.893759824227052
-13.792299452342053,-13.515154514213732,-13.670754708809309,-10.889689149912547
-13.452597330005503,-13.43942664951449,-13.66199697080722,-10.869314060701589
-13.258108724826254,-13.185276168770583,-13.609487414188932,-10.780453431255664
-13.235425079699862,-13.080594222164247,-13.538622821290428,-10.768866855966587
-13.212380290769463,-12.991212768111623,-13.53006862377897,-10.670217854058492
-12.732012996247414,-12.97136444686717,-13.486973218895258,-10.543802043817092
-12.530848200383723,-12.913535960252974,-13.279445995454754,-10.54062738341459
-12.341308685079506,-12.678272164985174,-13.221492061480976,-10.487991395543633
-12.309521711609111,-12.471133718872396,-13.19921353821017,-10.346232819367442
-12.28272254080229,-12.447838340111852,-13.113459722886141,-10.289196476077343
-12.142918941803405,-12.416730461990554,-13.058935986777232,-10.275697298754281
-12.09103597269807,-12.389314974960042,-13.05517986495402,-10.226648008429247
-12.06714903984812,-12.168585903405823,-12.969078346761743,-10.224257667505249
-11.962138310648596,-11.98680747341001,-12.806960333714423,-10.209167770773481
-11.869090692251454,-11.985410046411326,-12.73255166338126,-10.207920323124892
-11.799819961163998,-11.949996849581701,-12.691537941836067,-10.191770857197046
-11.520297223001217,-11.882216023472347,-12.53279781039177,-10.185776660353547
-11.137813177274287,-11.834351390498636,-12.516106523200259,-10.081266373893758
-11.131993765746389,-11.82394956375052,-12.456192231084094,-10.07936633345118
-11.07694581012965,-11.752604279455985,-12.44472735064921,-10.020140309572252
-11.0720220453351,-11.659997214672234,-12.413768424376544,-10.007029444495444
-11.054674820735897,-11.545148282197227,-12.403566978006404,-9.962416784300736
-11.030408892327637,-11.384878562352894,-12.374395609477926,-9.939813285203654
-11.026853522962817,-11.327243356283521,-12.358983514797695,-9.92190669008963
-10.919251863058347,-11.190132955333299,-12.313420357468654,-9.824986098404999
-10.867184320291138,-11.046336932035917,-12.266286131100353,-9.753846652445752
-10.71644183309469,-11.031580027337359,-12.206804554259381,-9.708853738708864
-10.427714181970035,-10.999608096396805,-12.09198711860597,-9.697676554801909
-10.342309839661478,-10.90244932106474,-11.988583080156275,-9.682499694182484
-10.32905414769025,-10.838851347131612,-11.897522669770236,-9.3227228017276
-10.249621001082463,-10.837074044687757,-11.879013504898342,-9.31631402187374
-10.191996452664398,-10.797012784588132,-11.756094739989532,-9.285303298011664
-10.189776548133228,-10.732380675907065,-11.754198252843551,-9.224466386321406
-10.129151785262687,-10.381123027984081,-11.703222197688925,-9.223159616488918
-10.089162678059306,-10.096628654726622,-11.68551303475185,-9.202061472246553
-9.992425892289504,-10.087057168266966,-11.67931759237578,-9.17219312104003
-9.965842188225313,-10.061377137878525,-11.66153414752384,-9.13721099417775
-9.957121921209893,-10.003235273157586,-11.529321389504158,-9.066187190555544
-9.899421870740126,-9.98856895141641,-11.467105344583779,-8.929221900763158
-9.824247303748283,-9.954306960569205,-11.456811112134613,-8.925007088490522
-9.788072198363691,-9.895470767852943,-11.455298856679947,-8.806827318204046
